image_uid,caption_number,keyword,lemma
1000523639,0,guitar,guitar
1000523639,1,guitar,guitar
1000523639,2,guitar,guitar
1000523639,4,guitar,guitar
1001573224,2,dance,dance
1001573224,3,dancing,dance
100716317,0,hair,hair
100716317,2,hair,hair
10101477,0,asian,asian
10101477,1,asian,asian
10101477,4,asian,asian
1010470346,0,cars,car
1010470346,1,car,car
1010470346,2,cars,car
1010470346,4,cars,car
101559400,0,suits,suit
101559400,1,suit,suit
101559400,2,suit,suit
101559400,2,suit,suit
101559400,3,suit,suit
101559400,4,suit,suit
102030371,0,vest,vest
102030371,3,vest,vest
1021439420,0,floor,floor
1021439420,2,floor,floor
1021439420,3,floor,floor
1021442086,0,car,car
1021442086,1,car,car
1021442086,2,car,car
1021442086,3,car,car
102268204,0,car,car
102268204,1,car,car
1024613706,3,path,path
1024613706,4,path,path
102860573,2,vests,vest
102860573,4,vests,vest
1028982826,0,bench,bench
1028982826,2,bench,bench
1028982826,3,bench,bench
1028982826,4,bench,bench
1034985636,0,guitar,guitar
1034985636,1,guitar,guitar
1034985636,2,guitar,guitar
1034985636,3,guitar,guitar
1034985636,4,guitar,guitar
10350842,1,boat,boat
10350842,2,vest,vest
10350842,3,boat,boat
10350842,4,vest,vest
1035392784,0,guitar,guitar
1035392784,1,guitar,guitar
1035392784,2,guitar,guitar
1035392784,3,guitar,guitar
1035392784,4,guitar,guitar
1039637574,1,suits,suit
1039637574,2,suits,suit
1039637574,3,suits,suit
1044434135,1,asian,asian
1044434135,2,asian,asian
1044434135,4,asian,asian
10459869,0,asian,asian
10459869,4,asians,asian
104669470,0,hair,hair
104669470,2,hair,hair
105223874,0,floor,floor
105223874,1,floor,floor
105223874,3,floor,floor
1053243591,0,bench,bench
1053243591,1,bench,bench
1053243591,2,bench,bench
1056415186,0,asian,asian
1056415186,4,asian,asian
1059514525,0,bench,bench
1059514525,1,bench,bench
1059514525,2,bench,bench
1059514525,3,bench,bench
1059514525,4,bench,bench
106027774,0,car,car
106027774,1,car,car
106027774,2,car,car
106027774,3,car,car
106027774,4,car,car
106027978,0,car,car
106027978,1,car,car
106027978,3,car,car
106027978,4,car,car
1061887159,0,boats,boat
1061887159,1,boats,boat
106300392,0,vest,vest
106300392,3,vests,vest
1063866640,0,boat,boat
1063866640,1,boat,boat
1066252238,0,sand,sand
1066252238,1,sand,sand
1068427675,0,threw,throw
1068427675,4,throwing,throw
106959209,2,horse,horse
106959209,3,horse,horse
106959209,4,horse,horse
1071201387,0,vest,vest
1071201387,1,vest,vest
1071201387,3,vest,vest
1073145694,0,throw,throw
1073145694,1,throwing,throw
1073145694,2,throwing,throw
1073145694,3,throwing,throw
1073145694,4,throwing,throw
1076460267,0,suits,suit
1076460267,0,boat,boat
1076460267,2,suits,suit
1076460267,2,boat,boat
1076460267,3,boats,boat
1076460267,4,boat,boat
1076503761,0,boat,boat
1076503761,2,boat,boat
1076503761,3,boat,boat
1080230428,2,sand,sand
1080230428,4,sand,sand
1081595465,0,vest,vest
1081595465,1,vests,vest
1081595465,2,vests,vest
1082110795,3,car,car
1082110795,4,car,car
1082478946,1,vests,vest
1082478946,2,vests,vest
1082478946,4,vests,vest
1082608010,0,vest,vest
1082608010,1,vest,vest
1082608010,4,vest,vest
1083240835,0,hair,hair
1083240835,1,hair,hair
10863862,0,vest,vest
10863862,1,vest,vest
108970557,0,purple,purple
108970557,1,purple,purple
109083036,0,sand,sand
109083036,3,sand,sand
10957138,0,suit,suit
10957138,1,suit,suit
1101207553,1,boat,boat
1101207553,2,boat,boat
1101207553,4,boat,boat
1101291373,0,bench,bench
1101291373,1,bench,bench
1101291373,2,bench,bench
1101291373,3,bench,bench
1101291373,4,bench,bench
1104087374,0,sand,sand
1104087374,4,sand,sand
1106644976,0,bench,bench
1106644976,2,bench,bench
1106644976,3,bench,bench
1106644976,4,bench,bench
11079715,0,guitar,guitar
11079715,1,guitar,guitar
11079715,2,guitar,guitar
11079715,3,guitar,guitar
11079715,4,guitar,guitar
111069375,1,fire,fire
111069375,2,fire,fire
111069375,4,fire,fire
11131022,0,sand,sand
11131022,1,sand,sand
11131022,2,sand,sand
11131022,4,sand,sand
11205420,0,rope,rope
11205420,1,rope,rope
11205420,2,rope,rope
11205420,2,rope,rope
11214205,1,vests,vest
11214205,2,vest,vest
11214205,3,vests,vest
11214370,1,vest,vest
11214370,2,vest,vest
11220707,0,vest,vest
11220707,3,vest,vest
112264837,0,suit,suit
112264837,1,suit,suit
112550433,2,dancing,dance
112550433,4,dancing,dance
1126450961,0,suit,suit
1126450961,1,suit,suit
1126450961,3,suit,suit
1126450961,4,suit,suit
11382381,0,horse,horse
11382381,1,horse,horse
11382381,2,horse,horse
11382381,3,horse,horse
11382381,4,horse,horse
114052371,0,hair,hair
114052371,2,hair,hair
114164952,0,path,path
114164952,2,path,path
114164952,3,path,path
1143815134,2,cliff,cliff
1143815134,4,cliff,cliff
114410209,0,car,car
114410209,1,car,car
114410209,2,car,car
114410209,3,car,car
1146490295,0,bench,bench
1146490295,1,bench,bench
1146490295,2,bench,bench
1146490295,3,bench,bench
1146490295,4,bench,bench
1148095714,1,suit,suit
1148095714,3,suit,suit
115903799,0,floor,floor
115903799,1,floor,floor
115903799,2,floor,floor
116002648,2,floor,floor
116002648,4,floor,floor
1160128934,1,ground,ground
1160128934,2,ground,ground
1161159603,0,boat,boat
1161159603,0,paddling,paddle
1161159603,1,paddling,paddle
1161159603,2,paddles,paddle
1161159603,2,boat,boat
1161159603,3,paddling,paddle
1161159603,3,boat,boat
1161159603,4,boat,boat
116382784,0,asian,asian
116382784,0,asian,asian
116382784,1,asian,asian
116450583,0,vest,vest
116450583,1,vest,vest
116450583,2,vest,vest
116450583,3,vest,vest
116664780,0,hair,hair
116664780,1,hair,hair
116664780,2,hair,hair
116664780,3,hair,hair
116664780,4,hair,hair
116862076,0,throwing,throw
116862076,1,throwing,throw
116862076,2,throwing,throw
116862076,3,throwing,throw
116862076,4,throwing,throw
1170586898,0,sand,sand
1170586898,1,sand,sand
1170586898,2,sand,sand
1170586898,3,sand,sand
1170586898,4,sand,sand
1172514641,2,hill,hill
1172514641,3,hills,hill
1188670028,0,horse,horse
1188670028,1,horse,horse
1188670028,2,horse,horse
1188670028,3,horse,horse
1188670028,4,horse,horse
1190083977,1,hill,hill
1190083977,2,sledding,sled
1190083977,2,sand,sand
1190083977,3,hill,hill
1190083977,3,sled,sled
1190083977,4,sledding,sled
1190083977,4,sand,sand
1190083977,4,hill,hill
1190951807,0,fire,fire
1190951807,1,fire,fire
1190951807,3,fire,fire
1193547352,0,climbers,climber
1193547352,0,climbers,climber
1193547352,4,climbers,climber
1195966967,0,guitar,guitar
1195966967,0,dancing,dance
1195966967,1,guitar,guitar
1195966967,1,dancing,dance
1195966967,2,guitar,guitar
1195966967,2,dances,dance
1195966967,3,guitar,guitar
1195966967,3,dances,dance
120058071,0,bench,bench
120058071,1,benches,bench
120058071,2,benches,bench
1201218421,0,sand,sand
1201218421,4,sand,sand
121335612,0,bird,bird
121335612,0,boat,boat
121335612,1,boat,boat
121335612,1,bird,bird
121335612,1,boat,boat
121335612,2,boat,boat
121335612,3,bird,bird
121335612,3,boat,boat
121335612,4,boat,boat
121335612,4,bird,bird
121551810,0,fire,fire
121551810,1,fire,fire
121551810,3,fire,fire
1218091024,0,car,car
1218091024,3,car,car
1218456659,0,dance,dance
1218456659,1,dance,dance
1218456659,2,dancing,dance
1218456659,4,dancing,dance
122188825,0,vest,vest
122188825,1,vests,vest
122188825,4,vests,vest
122189647,0,vests,vest
122189647,1,vests,vest
122190424,2,vests,vest
122190424,3,vests,vest
1222063706,0,bench,bench
1222063706,1,bench,bench
1222063706,3,bench,bench
1222063706,4,bench,bench
12238723,0,guitar,guitar
12238723,1,guitar,guitar
12238723,2,guitar,guitar
12238723,3,guitar,guitar
12238723,4,guitar,guitar
12243003,0,bench,bench
12243003,0,guitar,guitar
12243003,1,guitar,guitar
12243003,2,guitar,guitar
12243003,2,bench,bench
12243003,3,bench,bench
12243003,3,guitar,guitar
12243003,4,bench,bench
12243003,4,guitar,guitar
1224744193,0,boat,boat
1224744193,2,boat,boat
1224744193,3,boat,boat
1224744193,4,boat,boat
1225603792,0,boat,boat
1225603792,1,boat,boat
1225603792,2,boat,boat
1225603792,3,boat,boat
1225603792,4,boat,boat
1229536824,3,dance,dance
1229536824,4,dance,dance
1231348815,0,asian,asian
1231348815,3,asian,asian
1234638761,0,bench,bench
1234638761,2,bench,bench
1234638761,4,bench,bench
12379850,1,fire,fire
12379850,3,fire,fire
12379850,4,fire,fire
1238849490,1,guitar,guitar
1238849490,2,guitar,guitar
1238849490,4,guitar,guitar
1239262721,0,ground,ground
1239262721,4,ground,ground
12393804,0,horse,horse
12393804,1,horses,horse
12393804,2,horse,horse
12393804,3,horse,horse
12393804,4,horse,horse
1239873050,0,cars,car
1239873050,1,car,car
1239873050,3,car,car
124106477,1,throwing,throw
124106477,2,throwing,throw
1243798805,0,guitar,guitar
1243798805,1,guitar,guitar
1243798805,2,guitar,guitar
1243798805,3,guitar,guitar
1243798805,4,guitar,guitar
124523773,2,asian,asian
124523773,4,asian,asian
1247484195,1,dance,dance
1247484195,1,dancing,dance
1247484195,2,dancing,dance
1250845715,0,guitar,guitar
1250845715,1,guitar,guitar
1250845715,2,guitar,guitar
1250845715,3,guitar,guitar
1251898514,0,boat,boat
1251898514,1,boat,boat
1251898514,2,boat,boat
1251898514,4,boat,boat
1260501563,1,sand,sand
1260501563,3,sand,sand
1262720546,0,guitar,guitar
1262720546,1,guitar,guitar
1262720546,4,guitar,guitar
1262808368,1,car,car
1262808368,3,car,car
1262808368,4,car,car
1265343716,1,asian,asian
1265343716,2,asian,asian
127875146,0,car,car
127875146,4,car,car
1280221720,1,bench,bench
1280221720,2,bench,bench
1280221720,3,bench,bench
128097991,0,boat,boat
128097991,1,boat,boat
128128618,0,bench,bench
128128618,2,bench,bench
128128618,3,bench,bench
128391889,0,paddle,paddle
128391889,1,paddles,paddle
128391889,2,paddle,paddle
128391889,3,paddles,paddle
128396207,1,car,car
128396207,2,car,car
128452798,1,suit,suit
128452798,4,suit,suit
1287166023,0,guitar,guitar
1287166023,1,guitar,guitar
1287166023,2,guitar,guitar
1287166023,3,guitar,guitar
1287166023,4,guitar,guitar
1290285741,0,dance,dance
1290285741,1,dance,dance
1290285741,3,dancing,dance
12904242,0,suit,suit
12904242,3,suit,suit
129528391,0,purple,purple
129528391,0,purple,purple
129528391,3,purple,purple
1296144016,1,fire,fire
1296144016,4,fire,fire
1296395998,1,asian,asian
1296395998,2,asian,asian
1296395998,3,asian,asian
129846884,0,car,car
129846884,1,car,car
129846884,2,car,car
129846884,3,car,car
129846884,4,car,car
129863111,1,asian,asian
